Precision:

Patch size 4, step 2
With 100 clusters: 53,55555555555556
With 200 clusters: 52,888888888888886
With 300 clusters: 61,111111111111114
With 400 clusters: 58,666666666666664
With 500 clusters: 61,55555555555555
With 600 clusters: 63,55555555555556
With 700 clusters: 62,22222222222222
With 800 clusters: 62,22222222222222
With 900 clusters: 61,77777777777778
With 1000 clusters: 63,11111111111111

Patch size 8, step 4
With 100 clusters = 42,888888888888886
With 200 clusters = 49,111111111111114
With 300 clusters = 55,77777777777778
With 400 clusters = 54,888888888888886
With 500 clusters = 56,888888888888886
With 600 clusters = 44,888888888888886
With 700 clusters = 57,77777777777777
With 800 clusters = 58,88888888888889
With 900 clusters = 48,44444444444444
With 1000 clusters = 48,44444444444444

Patch size 16, step 8
With 100 clusters = 43,55555555555555
With 200 clusters = 32,0
With 300 clusters = 49,55555555555556
With 400 clusters = 41,77777777777778
With 500 clusters = 30,22222222222222
With 600 clusters = 42,888888888888886
With 700 clusters = 48,22222222222222
With 800 clusters: 44,888888888888886
With 900 clusters: 43,111111111111114
With 1000 clusters: 29,11111111111111

Patch size 32, step 16
With 100 clusters: 30,444444444444446
With 200 clusters: 25,555555555555554
With 300 clusters: 27,77777777777778
With 400 clusters: 22,22222222222222
With 500 clusters: 22,22222222222222
With 600 clusters: 24,0
With 700 clusters: 23,555555555555554
With 800 clusters: 24,88888888888889
With 900 clusters: 21,777777777777775
With 1000 clusters: 27,111111111111114
